Event Name,Time Stamp,Scene Name,PosX, PosY, PosZ,Damage Cause,Enemy Type,Player Action Type,Current Player Health,Player Health Before Event,Was Killed
Player Update,06:49:39,WallBuilder_Demo,0.00,1.50,0.00, , , , , , 
Player Update,06:49:40,WallBuilder_Demo,0.00,1.50,0.00, , , , , , 
Event Name,Time Stamp,Scene Name,PosX, PosY, PosZ,Damage Cause,Enemy Type,Player Action Type,Current Player Health,Player Health Before Event,Was Killed
Player Update,07:25:50,WallBuilder_Demo,0.82,1.50,3.23, , , , , , 
Player Update,07:25:51,WallBuilder_Demo,-0.85,1.50,1.84, , , , , , 
Player Update,07:25:52,WallBuilder_Demo,-1.59,1.50,0.84, , , , , , 
Event Name,Time Stamp,Scene Name,PosX, PosY, PosZ,Damage Cause,Enemy Type,Player Action Type,Current Player Health,Player Health Before Event,Was Killed
Player Update,07:26:20,NewPlayerTesting,0.00,2.00,0.00, , , , , , 
Player Update,07:26:21,NewPlayerTesting,0.00,2.00,0.00, , , , , , 
Player Update,07:26:22,NewPlayerTesting,0.00,2.00,0.00, , , , , , 
Player Update,07:26:23,NewPlayerTesting,0.11,2.00,5.30, , , , , , 
Player Update,07:26:24,NewPlayerTesting,-0.64,2.00,-0.94, , , , , , 
Player Update,07:26:25,NewPlayerTesting,-4.49,2.00,-6.01, , , , , , 
Player Update,07:26:26,NewPlayerTesting,-1.37,2.00,-7.58, , , , , , 
Player Update,07:26:27,NewPlayerTesting,-1.49,2.00,-8.05, , , , , , 
Player Action,07:26:28,NewPlayerTesting, , , , , ,Dash Slam, , , 
Player Update,07:26:28,NewPlayerTesting,-1.49,2.00,-8.05, , , , , , 
Player Update,07:26:29,NewPlayerTesting,-4.95,2.00,-15.27, , , , , , 
Player Update,07:26:30,NewPlayerTesting,-4.95,2.00,-15.27, , , , , , 
Player Update,07:26:31,NewPlayerTesting,-4.95,2.00,-15.27, , , , , , 
Player Update,07:26:32,NewPlayerTesting,-4.95,2.00,-15.27, , , , , , 
